CpuMaxMemory,EpLenMean,EpRewMean,GpuMaxMemory,IPS_total,Iter,Misc/FrameRewMean,Misc/InteractCount,Misc/TimeElapsed,Opt/approxkl,Opt/clipfrac,Opt/entropy,Opt/loss_pi,Opt/loss_vf,Opt/negent,Opt/pg,Opt/pi_kl,VFStats/AdvMean,VFStats/AdvStd,VFStats/EV,VFStats/VpredMean,VFStats/VpredStd,VFStats/VtargMean,VFStats/VtargStd,del_time,wait_optimization,scaled/pol_distance,scaled/vf_aux,scaled/vf_true,unscaled/pol_distance,unscaled/vf_aux,unscaled/vf_true
2367936000.0,81.3,-2.380000114440918,6317166080.0,3431.283615226347,0.0,-1.02752685546875,16384.0,4.7748894691467285,0.00507886428385973,0.04034423828125,2.7043344974517822,-0.025981243699789047,87.98308563232422,-0.02704334259033203,0.0010621007531881332,0.0,-15.19035530090332,5.441413402557373,0.00011596673857205975,0.01607506349682808,0.013264769688248634,-15.17427921295166,5.441727161407471,4.7748894691467285,2.7652769088745117,,,,,,
2565956000.0,80.73,-2.9000000953674316,6519754752.0,3524.191215086484,1.0,-1.0325927734375,32768.0,9.423899412155151,0.0007946201367303729,0.0,2.706221342086792,-0.027326200157403946,79.56861114501953,-0.02706221118569374,-0.0002639899030327797,0.0,-10.220696449279785,10.628414154052734,0.0577372106888544,-20.644256591796875,5.240572452545166,-30.864952087402344,10.949196815490723,4.649009943008423,2.770055055618286,,,,,,
2762636000.0,81.05,-2.319999933242798,6519754752.0,3494.645794508584,2.0,-1.02813720703125,49152.0,14.11221432685852,7.376917346846312e-05,0.0,2.7076268196105957,-0.027208060026168823,94.02137756347656,-0.027076266705989838,-0.00013179145753383636,0.0,-8.514253616333008,12.666261672973633,0.07413007428880192,-28.632858276367188,6.7187724113464355,-37.14711380004883,13.16356372833252,4.688314914703369,2.7678937911987305,,,,,,
2959316000.0,76.56,-1.9700000286102295,6519754752.0,3547.5928137777328,3.0,-1.02484130859375,65536.0,18.730557203292847,2.7408286769059487e-05,0.0,2.7078394889831543,-0.027110427618026733,108.8184814453125,-0.02707839198410511,-3.2036565244197845e-05,0.0,-6.8565673828125,13.827730178833008,0.03741179591536514,-32.580596923828125,6.712744235992432,-39.437164306640625,14.093887329101562,4.618342876434326,2.768712282180786,,,,,,
3157052000.0,80.59,-2.5899999141693115,6519754752.0,3596.5828401078566,4.0,-1.02734375,81920.0,23.28599238395691,0.0002751838765107095,0.0,2.706753969192505,-0.027173340320587158,121.72232818603516,-0.02706753835082054,-0.00010580266825854778,0.0,-6.145358562469482,14.75422191619873,0.11183443133733473,-37.93711471557617,6.438283443450928,-44.08247375488281,15.6555814743042,4.5554351806640625,2.7647480964660645,,,,,,
3354788000.0,81.76,-2.049999952316284,6519754752.0,3537.4494659244556,5.0,-1.02435302734375,98304.0,27.917577981948853,0.001329089398495853,0.00628662109375,2.7010016441345215,-0.026860564947128296,149.08322143554688,-0.02701001800596714,0.00014945119619369507,0.0,-4.436929702758789,16.728181838989258,0.0072614580617227364,-44.13836669921875,6.83031702041626,-48.575294494628906,16.789255142211914,4.631585597991943,2.772331714630127,,,,,,
3552524000.0,80.75,-2.359999895095825,6519754752.0,3684.5863248797205,6.0,-1.0294189453125,114688.0,32.36421012878418,0.00031609469442628324,0.0,2.7004408836364746,-0.026617882773280144,171.78012084960938,-0.027004405856132507,0.0003865193575620651,0.0,-3.6952171325683594,17.849212646484375,0.057372891397242776,-49.62896728515625,6.272039890289307,-53.32418441772461,18.384382247924805,4.446632146835327,2.7729341983795166,,,,,,
3751400000.0,85.96,-3.259999990463257,6519754752.0,3563.795602734373,7.0,-1.0301513671875,131072.0,36.96155571937561,0.000535131199285388,0.0,2.699666738510132,-0.026889558881521225,226.3263702392578,-0.026996664702892303,0.00010710710193961859,0.0,-0.7111390233039856,21.257455825805664,0.02718593105120881,-62.10179138183594,8.05027961730957,-62.81293487548828,21.552440643310547,4.597345590591431,2.795422077178955,,,,,,
3948276000.0,84.94,-3.2200000286102295,6519754752.0,3451.520000610751,8.0,-1.0321044921875,147456.0,41.708449840545654,0.0013518211198970675,0.0069580078125,2.6915457248687744,-0.026565048843622208,226.28509521484375,-0.026915455237030983,0.0003504045307636261,0.0,-0.8873777389526367,21.139028549194336,0.053047491420151305,-62.61470031738281,6.614963531494141,-63.5020751953125,21.72304916381836,4.746894121170044,2.7972071170806885,,,,,,
4146276000.0,85.89,-2.009999990463257,6519754752.0,3486.84817202673,9.0,-1.02301025390625,163840.0,46.407249212265015,0.00041053874883800745,0.0,2.702639579772949,-0.02694784104824066,236.88258361816406,-0.027026398107409477,7.855799049139023e-05,0.0,-0.15250712633132935,21.544208526611328,0.02597548780410075,-63.75867462158203,6.953505516052246,-63.91117858886719,21.82959747314453,4.69879937171936,2.7861533164978027,,,,,,
