CpuMaxMemory,EpLenMean,EpRewMean,GpuMaxMemory,IPS_total,Iter,Misc/FrameRewMean,Misc/InteractCount,Misc/TimeElapsed,Opt/approxkl,Opt/clipfrac,Opt/entropy,Opt/loss_pi,Opt/loss_vf,Opt/negent,Opt/pg,Opt/pi_kl,VFStats/AdvMean,VFStats/AdvStd,VFStats/EV,VFStats/VpredMean,VFStats/VpredStd,VFStats/VtargMean,VFStats/VtargStd,del_time,wait_optimization
2364716000.0,83.24,-2.440000057220459,6317166080.0,3479.7601811230993,0.0,-0.05211636796593666,16384.0,4.7083704471588135,0.0033202527556568384,0.0155029296875,2.7039647102355957,-0.0268650371581316,0.10991473495960236,-0.027039648965001106,0.00017460715025663376,0.0,-0.7714948058128357,0.27780425548553467,0.003571608617197408,-0.006392587907612324,0.014708680100739002,-0.7778874039649963,0.27830174565315247,4.7083704471588135,2.728330612182617
2563708000.0,83.59,-2.690000057220459,6519754752.0,3610.170710890684,1.0,-0.050903357565402985,32768.0,9.246659994125366,0.0012213389854878187,0.00244140625,2.7020516395568848,-0.026943732053041458,0.14601349830627441,-0.027020517736673355,7.678475230932236e-05,0.0,-0.5933101773262024,0.4103676378726959,0.02139525371593809,-0.5955303907394409,0.10902658104896545,-1.188840627670288,0.4148295819759369,4.538289546966553,2.724407911300659
2761708000.0,74.39,-2.2300000190734863,6519754752.0,3660.8983320517605,2.0,-0.05228312313556671,49152.0,13.72206425666809,0.0020120912231504917,0.0108642578125,2.6914749145507812,-0.02665243111550808,0.1920909583568573,-0.026914749294519424,0.0002623163163661957,0.0,-0.5059572458267212,0.5152316689491272,-0.003125346169024157,-0.9688646793365479,0.1701723039150238,-1.474821925163269,0.514428436756134,4.475404262542725,2.7358782291412354
2959708000.0,77.11,-2.299999952316284,6519754752.0,3579.808576509432,3.0,-0.05235739052295685,65536.0,18.298845291137695,0.0026190858334302902,0.023193359375,2.697702407836914,-0.02718673273921013,0.22932203114032745,-0.02697702683508396,-0.0002097059041261673,0.0,-0.4244377017021179,0.5962764024734497,0.05406840552070358,-1.3340842723846436,0.19267059862613678,-1.7585220336914062,0.6130813956260681,4.5767810344696045,2.7300801277160645
3157444000.0,80.04,-2.0899999141693115,6519754752.0,3595.545964476447,4.0,-0.052628785371780396,81920.0,22.855594158172607,0.0005439211963675916,0.0,2.695725202560425,-0.027351371943950653,0.2698919177055359,-0.026957252994179726,-0.0003941245377063751,0.0,-0.35677701234817505,0.6923080086708069,0.02882749330329426,-1.6841604709625244,0.205594003200531,-2.0409374237060547,0.7025072574615479,4.556748867034912,2.7392091751098633
3355180000.0,79.56,-2.6500000953674316,6519754752.0,3627.799733582748,5.0,-0.05239688977599144,98304.0,27.371830224990845,0.0027689470443874598,0.02105712890625,2.663952112197876,-0.02658737823367119,0.2997637987136841,-0.02663952112197876,5.2141956984996796e-05,0.0,-0.2982245087623596,0.7497193813323975,0.028392082440598654,-1.9169251918792725,0.2302568107843399,-2.2151496410369873,0.7605945467948914,4.516236066818237,2.745140314102173
3553180000.0,76.92,-2.4000000953674316,6519754752.0,3598.266448423233,6.0,-0.052796825766563416,114688.0,31.92513394355774,0.0014968957984820008,0.0028076171875,2.674938917160034,-0.026931937783956528,0.3150358498096466,-0.026749391108751297,-0.00018254853785037994,0.0,-0.254433810710907,0.7763543128967285,0.10377596642317355,-2.0841469764709473,0.23336811363697052,-2.338581085205078,0.8200715780258179,4.5533037185668945,2.7409255504608154
3751876000.0,79.18,-1.649999976158142,6519754752.0,3545.645985603701,7.0,-0.052305497229099274,131072.0,36.54601263999939,0.0008336355676874518,0.001708984375,2.6821887493133545,-0.027056941762566566,0.34477362036705017,-0.026821888983249664,-0.00023505394347012043,0.0,-0.19792012870311737,0.8159406781196594,0.11626391261211055,-2.2513837814331055,0.26986637711524963,-2.44930362701416,0.8679544925689697,4.62087869644165,2.7536423206329346
3948820000.0,86.35,-3.0,6519754752.0,3610.8429909231163,8.0,-0.05248800665140152,147456.0,41.083457231521606,0.0005419309018179774,0.0,2.6800246238708496,-0.02697138860821724,0.3434063196182251,-0.0268002450466156,-0.00017114728689193726,0.0,-0.19740940630435944,0.8257260918617249,0.18059932254350664,-2.3697867393493652,0.31071165204048157,-2.5671961307525635,0.9121954441070557,4.537444591522217,2.76263689994812
4146820000.0,75.92,-1.6399999856948853,6519754752.0,3503.608725907982,9.0,-0.05263669788837433,163840.0,45.75977849960327,0.00038200709968805313,0.0,2.6946616172790527,-0.02689102292060852,0.3375495374202728,-0.026946615427732468,5.559157580137253e-05,0.0,-0.11989279091358185,0.8415161371231079,0.3185665753514081,-2.514223098754883,0.49939510226249695,-2.6341159343719482,1.0194143056869507,4.676321268081665,2.751185655593872
4344556000.0,83.89,-2.109999895095825,6519754752.0,3639.119109137706,10.0,-0.052453260868787766,180224.0,50.261966943740845,0.000324488413752988,0.0,2.6952733993530273,-0.027184750884771347,0.37512925267219543,-0.02695273607969284,-0.00023201678413897753,0.0,-0.06806070357561111,0.8985401391983032,0.4193828430335991,-2.836850881576538,0.7415794730186462,-2.904911518096924,1.1792134046554565,4.502188444137573,2.7485551834106445
4542556000.0,75.61,-1.7300000190734863,6519754752.0,3556.2160815158,11.0,-0.05254312604665756,196608.0,54.86911106109619,0.0008772689616307616,0.00189208984375,2.69465708732605,-0.027104806154966354,0.390888512134552,-0.026946568861603737,-0.00015823589637875557,0.0,0.008250132203102112,0.9117119908332825,0.5382180278179114,-2.9343008995056152,0.9927843809127808,-2.9260506629943848,1.3416495323181152,4.607144117355347,2.7531771659851074
