CpuMaxMemory,EpLenMean,EpRewMean,GpuMaxMemory,IPS_total,Iter,Misc/FrameRewMean,Misc/InteractCount,Misc/TimeElapsed,Opt/approxkl,Opt/clipfrac,Opt/entropy,Opt/loss_pi,Opt/loss_vf,Opt/negent,Opt/pg,Opt/pi_kl,VFStats/AdvMean,VFStats/AdvStd,VFStats/EV,VFStats/VpredMean,VFStats/VpredStd,VFStats/VtargMean,VFStats/VtargStd,del_time,wait_optimization,scaled/pol_distance,scaled/vf_aux,scaled/vf_true,unscaled/pol_distance,unscaled/vf_aux,unscaled/vf_true
2364204000.0,84.23,-2.3299999237060547,6317166080.0,3472.3912343484767,0.0,-0.011797280982136726,16384.0,4.718362331390381,0.005443587899208069,0.05072021484375,2.7004358768463135,-0.026490002870559692,0.16438661515712738,-0.027004361152648926,0.0005143564194440842,0.0,-0.186751589179039,0.5554361343383789,0.0003713393836179968,0.03456633538007736,0.010367376729846,-0.15218524634838104,0.5555393099784851,4.718362331390381,2.7406177520751953,,,,,,
2563316000.0,81.19,-2.690000057220459,6519754752.0,3614.8136705593015,1.0,-0.013473287224769592,32768.0,9.25082278251648,0.0018430103082209826,0.0108642578125,2.7030677795410156,-0.027588531374931335,0.16063183546066284,-0.02703067660331726,-0.0005578574491664767,0.0,-0.16286349296569824,0.5572592616081238,0.01591761026663041,-0.10241363942623138,0.021976277232170105,-0.2652771472930908,0.5617480874061584,4.532460451126099,2.7226884365081787,,,,,,
2761316000.0,72.65,-1.649999976158142,6519754752.0,3589.027183223113,2.0,-0.011298108845949173,49152.0,13.815848112106323,0.004371866583824158,0.04541015625,2.682206869125366,-0.027622641995549202,0.14626693725585938,-0.02682206779718399,-0.0008005741983652115,0.0,-0.08991153538227081,0.5409871339797974,0.03546788374547627,-0.2797131836414337,0.04344460740685463,-0.3696247339248657,0.5508440136909485,4.565025329589844,2.731870412826538,,,,,,
2959316000.0,83.36,-2.390000104904175,6519754752.0,3613.1390518108738,3.0,-0.013268426060676575,65536.0,18.350409269332886,0.000937606964726001,0.00146484375,2.699450969696045,-0.027072452008724213,0.1797252893447876,-0.026994511485099792,-7.794052362442017e-05,0.0,-0.12706385552883148,0.6016892194747925,0.11121790158884737,-0.3210667371749878,0.11055481433868408,-0.4481305778026581,0.6382260918617249,4.5345611572265625,2.7319295406341553,,,,,,
3157052000.0,80.21,-1.7400000095367432,6519754752.0,3570.2253787392706,4.0,-0.011642532423138618,81920.0,22.939475297927856,0.003050181781873107,0.02398681640625,2.6844968795776367,-0.02717895805835724,0.1581284999847412,-0.026844967156648636,-0.0003339909017086029,0.0,-0.06084496155381203,0.5611867308616638,0.1955104532630373,-0.43353620171546936,0.2199498564004898,-0.4943811297416687,0.6256725788116455,4.589066028594971,2.7382800579071045,,,,,,
3355052000.0,76.72,-1.5199999809265137,6519754752.0,3572.2581649879126,5.0,-0.010275159031152725,98304.0,27.525929927825928,0.002733403816819191,0.02423095703125,2.681628465652466,-0.027470607310533524,0.15095707774162292,-0.02681628242135048,-0.0006543267518281937,0.0,-0.006177084520459175,0.5500083565711975,0.19222313377736178,-0.5355802774429321,0.2227291315793991,-0.541757345199585,0.6119607090950012,4.586454629898071,2.7479746341705322,,,,,,
3552788000.0,75.39,-1.4500000476837158,6519754752.0,3564.234416171416,6.0,-0.009920714423060417,114688.0,32.12270951271057,0.0018157361773774028,0.0,2.673534393310547,-0.02625996619462967,0.15649554133415222,-0.026735343039035797,0.000475378124974668,0.0,-0.007416478358209133,0.5487723350524902,0.1781963764380653,-0.4616948366165161,0.2263101488351822,-0.4691113233566284,0.6053523421287537,4.5967795848846436,2.760371446609497,,,,,,
3751580000.0,73.96,-1.590000033378601,6519754752.0,3562.8521686616873,7.0,-0.009602665901184082,131072.0,36.721272468566895,0.0013318420387804508,0.0,2.6784048080444336,-0.02624187059700489,0.14433951675891876,-0.02678404375910759,0.0005421717651188374,0.0,0.020178813487291336,0.5379665493965149,0.24201601311585674,-0.5927049517631531,0.24157673120498657,-0.572526216506958,0.6179100275039673,4.598562955856323,2.759991407394409,,,,,,
3948524000.0,72.72,-1.8700000047683716,6519754752.0,3630.480074207747,8.0,-0.013012764975428581,147456.0,41.2341742515564,0.0033805384300649166,0.028076171875,2.648263692855835,-0.025352131575345993,0.1626390516757965,-0.026482636108994484,0.0011305040679872036,0.0,0.00030522141605615616,0.5743067264556885,0.36220450888500955,-0.7168905735015869,0.3514299690723419,-0.7165852785110474,0.7191230654716492,4.512901782989502,2.7564263343811035,,,,,,
4146524000.0,76.49,-1.5299999713897705,6519754752.0,3597.8534983946706,9.0,-0.008179789409041405,163840.0,45.78800058364868,0.0030883445870131254,0.03411865234375,2.666934013366699,-0.027246879413723946,0.14212842285633087,-0.026669342070817947,-0.0005775389727205038,0.0,0.06850883364677429,0.5324907898902893,0.4042886148919639,-0.6745373010635376,0.39779314398765564,-0.6060284376144409,0.6899126768112183,4.553826332092285,2.758066415786743,,,,,,
4344260000.0,74.97,-2.069999933242798,6519754752.0,3597.1730535557294,10.0,-0.010108618065714836,180224.0,50.34268832206726,0.0012867822078987956,0.005615234375,2.657182216644287,-0.02654728665947914,0.15694233775138855,-0.026571819558739662,2.453569322824478e-05,0.0,0.04747553914785385,0.5470812320709229,0.48986655433858795,-0.7036656141281128,0.4578259587287903,-0.656190037727356,0.7659667134284973,4.554687738418579,2.7591285705566406,,,,,,
