CpuMaxMemory,EpLenMean,EpRewMean,GpuMaxMemory,IPS_total,Iter,Misc/FrameRewMean,Misc/InteractCount,Misc/TimeElapsed,Opt/approxkl,Opt/clipfrac,Opt/entropy,Opt/loss_pi,Opt/loss_vf,Opt/negent,Opt/pg,Opt/pi_kl,VFStats/AdvMean,VFStats/AdvStd,VFStats/EV,VFStats/VpredMean,VFStats/VpredStd,VFStats/VtargMean,VFStats/VtargStd,del_time,wait_optimization,scaled/pol_distance,scaled/vf_aux,scaled/vf_true,unscaled/pol_distance,unscaled/vf_aux,unscaled/vf_true
2366520000.0,82.57,-2.309999942779541,6317166080.0,3536.2058227427315,0.0,-0.052429355680942535,16384.0,4.633214473724365,0.004525399766862392,0.01959228515625,2.7030680179595947,-0.026585090905427933,0.14130520820617676,-0.02703067846596241,0.00044558756053447723,0.0,-0.7741180062294006,0.2773626446723938,-0.003381684173640709,-0.0004907117690891027,0.011822689324617386,-0.7746087312698364,0.27689483761787415,4.633214473724365,2.721567392349243,,,,,,
2564000000.0,79.63,-2.7899999618530273,6519754752.0,3531.0354915444877,1.0,-0.052097246050834656,32768.0,9.273213148117065,0.0007123685209080577,0.0,2.7039296627044678,-0.026888489723205566,0.16665294766426086,-0.027039291337132454,0.00015080487355589867,0.0,-0.6540240049362183,0.37159982323646545,0.007459575727181367,-0.42901137471199036,0.07289745658636093,-1.0830354690551758,0.3729938566684723,4.6399986743927,2.7235770225524902,,,,,,
2761472000.0,83.05,-2.950000047683716,6519754752.0,3542.8723941168278,2.0,-0.05051075667142868,49152.0,13.897709369659424,0.0004832615377381444,0.0,2.7074642181396484,-0.026797279715538025,0.21225959062576294,-0.027074644342064857,0.0002773674204945564,0.0,-0.4776122272014618,0.5384232401847839,0.011961171996141107,-1.113908290863037,0.19153012335300446,-1.5915205478668213,0.5416725277900696,4.624496221542358,2.7254369258880615,,,,,,
2959472000.0,83.79,-2.680000066757202,6519754752.0,3529.311599551971,3.0,-0.05042514204978943,65536.0,18.539974451065063,0.00042874400969594717,0.0,2.706350803375244,-0.02702212706208229,0.2594129741191864,-0.027063507586717606,4.1383085772395134e-05,0.0,-0.35592788457870483,0.6749423146247864,0.06574580987138767,-1.6714551448822021,0.262973815202713,-2.0273828506469727,0.6982868313789368,4.64226508140564,2.7293319702148438,,,,,,
3157732000.0,77.81,-2.549999952316284,6519754752.0,3501.5144846202243,4.0,-0.050845131278038025,81920.0,23.21909260749817,0.0005037490045651793,0.0,2.7044222354888916,-0.02724562957882881,0.27545878291130066,-0.027044221758842468,-0.00020140781998634338,0.0,-0.3526769280433655,0.6897813081741333,0.07069863866420245,-1.736382246017456,0.25595444440841675,-2.089059352874756,0.7155390977859497,4.6791181564331055,2.736290454864502,,,,,,
3355468000.0,77.0,-2.4200000762939453,6519754752.0,3603.0832149205694,5.0,-0.05035243183374405,98304.0,27.76630926132202,0.0010187597945332527,0.00177001953125,2.701239585876465,-0.02653064951300621,0.27633675932884216,-0.027012396603822708,0.0004817480221390724,0.0,-0.31996381282806396,0.7159062027931213,0.06597561799472462,-1.8164969682693481,0.2835567891597748,-2.136460781097412,0.7407588958740234,4.5472166538238525,2.7491745948791504,,,,,,
3553204000.0,85.31,-2.8299999237060547,6519754752.0,3536.5585120650467,6.0,-0.0503409206867218,114688.0,32.39906167984009,0.0004887807881459594,0.0,2.7033984661102295,-0.026891445741057396,0.2877463400363922,-0.027033982798457146,0.00014253752306103706,0.0,-0.28612446784973145,0.7477872371673584,0.1139355864215218,-2.031403064727783,0.31064480543136597,-2.3175275325775146,0.7944108843803406,4.632752418518066,2.7422878742218018,,,,,,
3752260000.0,79.47,-2.0899999141693115,6519754752.0,3553.8335272821373,7.0,-0.0502256415784359,131072.0,37.009294509887695,0.001279410789720714,0.01275634765625,2.69905424118042,-0.027143709361553192,0.28253796696662903,-0.026990540325641632,-0.00015317066572606564,0.0,-0.223210409283638,0.7480088472366333,0.20993715653435352,-2.074803352355957,0.3644241988658905,-2.298013687133789,0.8415419459342957,4.610232830047607,2.7462778091430664,,,,,,
3948940000.0,87.98,-2.5799999237060547,6519754752.0,3551.2007116511586,8.0,-0.05011993274092674,147456.0,41.6229453086853,0.0009818178368732333,0.0,2.696573257446289,-0.02623831108212471,0.3227209150791168,-0.026965733617544174,0.0007274190429598093,0.0,-0.17831361293792725,0.8026019930839539,0.27686295657868576,-2.278038501739502,0.503980278968811,-2.4563519954681396,0.943821370601654,4.613650798797607,2.750406265258789,,,,,,
4146940000.0,81.52,-1.559999942779541,6519754752.0,3564.0680462114606,9.0,-0.050146184861660004,163840.0,46.21993947029114,0.000666729873046279,0.0,2.6898834705352783,-0.0268472321331501,0.3585458993911743,-0.026898836717009544,5.160365253686905e-05,0.0,-0.08070005476474762,0.8537701964378357,0.3624504294604606,-2.5715184211730957,0.6593752503395081,-2.6522183418273926,1.0692609548568726,4.596994161605835,2.7567148208618164,,,,,,
